Sample,UMAP1,UMAP2,Group
PTH12w_1,19.507538,5.873477,PTH(12w)
PTH12w_2,17.885145,6.891614,PTH(12w)
PTH12w_3,18.056707,8.288971,PTH(12w)
PTH12w_4,19.703083,7.7977242,PTH(12w)
PTH12w_5,19.802252,8.400457,PTH(12w)
PTH12w_6,19.363018,8.220078,PTH(12w)
PTH12w_7,19.936745,8.085285,PTH(12w)
PTH12w_9,17.897848,9.01406,PTH(12w)
PTH4w_1,20.0286,7.0936584,PTH(4w)
PTH4w_2,19.672913,7.432865,PTH(4w)
PTH4w_3,18.779207,6.141692,PTH(4w)
PTH4w_4,19.526638,6.5477815,PTH(4w)
PTH4w_5,20.646717,7.9578266,PTH(4w)
PTH4w_7,17.444212,8.430002,PTH(4w)
PTH4w_8,20.367111,7.843753,PTH(4w)
PTH4w_9,18.974957,6.940545,PTH(4w)
Scl10w_1,18.45002,6.65595,SCL(10w)
Scl10w_2,19.26155,6.596461,SCL(10w)
Scl10w_4,17.943588,6.481264,SCL(10w)
Scl10w_5,19.852856,6.196784,SCL(10w)
Scl10w_6,18.88901,8.720042,SCL(10w)
Scl10w_7,20.171469,6.203644,SCL(10w)
Scl10w_8,19.30949,7.1249294,SCL(10w)
Scl10w_9,20.591059,7.2513404,SCL(10w)
Scl2w_1,19.413353,6.2717333,SCL(2w)
Scl2w_10,18.276003,7.161909,SCL(2w)
Scl2w_2,20.578651,7.569538,SCL(2w)
Scl2w_4,18.845295,6.2035284,SCL(2w)
Scl2w_5,19.625082,5.466759,SCL(2w)
Scl2w_6,17.864393,6.0533633,SCL(2w)
Scl2w_7,17.547396,6.513181,SCL(2w)
Scl2w_8,17.36436,7.845314,SCL(2w)
Scl2w_9,20.138115,8.285433,SCL(2w)
Veh10w_1,18.329687,6.1558447,VEH(10w)
Veh10w_2,19.05226,5.6553063,VEH(10w)
Veh10w_3,18.64913,5.4670916,VEH(10w)
Veh10w_4,17.065472,7.5181327,VEH(10w)
Veh10w_5,17.797626,7.3071504,VEH(10w)
Veh10w_6,18.486328,7.54759,VEH(10w)
Veh10w_8,17.626808,8.2186165,VEH(10w)
Veh10w_9,18.517494,8.173392,VEH(10w)
Veh12w_1,20.011093,5.7913785,VEH(12w)
Veh12w_2,19.170767,5.8118367,VEH(12w)
Veh12w_3,18.292078,5.6118636,VEH(12w)
Veh12w_5,17.705215,8.674844,VEH(12w)
Veh12w_6,17.695597,7.7318144,VEH(12w)
Veh12w_7,18.190907,9.089311,VEH(12w)
Veh12w_8,17.108494,8.266836,VEH(12w)
Veh12w_9,17.108534,6.7958717,VEH(12w)
Veh2w_1,19.283007,8.708517,VEH(2w)
Veh2w_10,18.660364,7.334821,VEH(2w)
Veh2w_2,20.533987,6.986214,VEH(2w)
Veh2w_3,19.709606,6.960619,VEH(2w)
Veh2w_6,17.243734,8.92163,VEH(2w)
Veh2w_7,20.237429,6.5139623,VEH(2w)
Veh2w_8,19.439737,5.4659166,VEH(2w)
Veh2w_9,19.088202,7.5788255,VEH(2w)
Veh4w_10,18.204815,8.689806,VEH(4w)
Veh4w_2,19.811846,7.4632635,VEH(4w)
Veh4w_4,18.291378,6.595285,VEH(4w)
Veh4w_5,20.046818,7.8229275,VEH(4w)
Veh4w_6,17.152374,8.173386,VEH(4w)
Veh4w_7,19.012007,8.074253,VEH(4w)
Veh4w_8,18.012835,7.887322,VEH(4w)
Veh4w_9,17.434643,7.0915546,VEH(4w)
